V1, Vout
0.0,0.005
0.005005005005005005,0.0
0.01001001001001001,0.0
0.015015015015015015,0.0
0.02002002002002002,0.005
0.025025025025025023,0.005
0.03003003003003003,0.005
0.035035035035035036,0.005
0.04004004004004004,0.005
0.04504504504504504,0.005
0.050050050050050046,0.005
0.055055055055055056,0.005
0.06006006006006006,0.005
0.06506506506506507,0.005
0.07007007007007007,0.005
0.07507507507507508,0.005
0.08008008008008008,0.005
0.08508508508508508,0.005
0.09009009009009009,0.005
0.09509509509509509,0.005
0.10010010010010009,0.005
0.10510510510510511,0.005
0.11011011011011011,0.005
0.11511511511511512,0.005
0.12012012012012012,0.005
0.12512512512512514,0.005
0.13013013013013014,0.005
0.13513513513513514,0.005
0.14014014014014015,0.005
0.14514514514514515,0.005
0.15015015015015015,0.005
0.15515515515515516,0.005
0.16016016016016016,0.005
0.16516516516516516,0.005
0.17017017017017017,0.005
0.17517517517517517,0.005
0.18018018018018017,0.005
0.18518518518518517,0.005
0.19019019019019018,0.005
0.19519519519519518,0.005
0.20020020020020018,0.005
0.20520520520520522,0.005
0.21021021021021022,0.005
0.21521521521521522,0.005
0.22022022022022023,0.005
0.22522522522522523,0.005
0.23023023023023023,0.005
0.23523523523523523,0.005
0.24024024024024024,0.005
0.24524524524524524,0.005
0.2502502502502503,0.005
0.2552552552552553,0.005
0.2602602602602603,0.005
0.2652652652652653,0.005
0.2702702702702703,0.005
0.2752752752752753,0.005
0.2802802802802803,0.005
0.2852852852852853,0.005
0.2902902902902903,0.005
0.2952952952952953,0.005
0.3003003003003003,0.005
0.3053053053053053,0.005
0.3103103103103103,0.005
0.3153153153153153,0.005
0.3203203203203203,0.005
0.3253253253253253,0.005
0.3303303303303303,0.005
0.3353353353353353,0.005
0.34034034034034033,0.005
0.34534534534534533,0.005
0.35035035035035034,0.005
0.35535535535535534,0.005
0.36036036036036034,0.005
0.36536536536536535,0.005
0.37037037037037035,0.005
0.37537537537537535,0.005
0.38038038038038036,0.005
0.38538538538538536,0.005
0.39039039039039036,0.005
0.39539539539539537,0.005
0.40040040040040037,0.005
0.40540540540540543,0.005
0.41041041041041043,0.005
0.41541541541541543,0.005
0.42042042042042044,0.005
0.42542542542542544,0.01
0.43043043043043044,0.01
0.43543543543543545,0.01
0.44044044044044045,0.01
0.44544544544544545,0.01
0.45045045045045046,0.01
0.45545545545545546,0.01
0.46046046046046046,0.01
0.46546546546546547,0.01
0.47047047047047047,0.01
0.4754754754754755,0.01
0.4804804804804805,0.01
0.4854854854854855,0.01
0.4904904904904905,0.01
0.4954954954954955,0.01
0.5005005005005005,0.015
0.5055055055055055,0.015
0.5105105105105106,0.015
0.5155155155155156,0.015
0.5205205205205206,0.015
0.5255255255255256,0.015
0.5305305305305306,0.015
0.5355355355355356,0.02
0.5405405405405406,0.02
0.5455455455455456,0.02
0.5505505505505506,0.02
0.5555555555555556,0.02
0.5605605605605606,0.02
0.5655655655655656,0.02
0.5705705705705706,0.025
0.5755755755755756,0.025
0.5805805805805806,0.025
0.5855855855855856,0.025
0.5905905905905906,0.025
0.5955955955955956,0.03
0.6006006006006006,0.03
0.6056056056056056,0.03
0.6106106106106106,0.03
0.6156156156156156,0.03
0.6206206206206206,0.03
0.6256256256256256,0.035
0.6306306306306306,0.035
0.6356356356356356,0.035
0.6406406406406406,0.035
0.6456456456456456,0.04
0.6506506506506506,0.04
0.6556556556556556,0.04
0.6606606606606606,0.045
0.6656656656656657,0.045
0.6706706706706707,0.045
0.6756756756756757,0.045
0.6806806806806807,0.05
0.6856856856856857,0.05
0.6906906906906907,0.05
0.6956956956956957,0.05
0.7007007007007007,0.055
0.7057057057057057,0.055
0.7107107107107107,0.055
0.7157157157157157,0.06
0.7207207207207207,0.06
0.7257257257257257,0.06
0.7307307307307307,0.065
0.7357357357357357,0.065
0.7407407407407407,0.07
0.7457457457457457,0.07
0.7507507507507507,0.07
0.7557557557557557,0.075
0.7607607607607607,0.075
0.7657657657657657,0.075
0.7707707707707707,0.08
0.7757757757757757,0.08
0.7807807807807807,0.08
0.7857857857857857,0.085
0.7907907907907907,0.085
0.7957957957957957,0.09
0.8008008008008007,0.09
0.8058058058058059,0.09
0.8108108108108109,0.095
0.8158158158158159,0.095
0.8208208208208209,0.1
0.8258258258258259,0.1
0.8308308308308309,0.1
0.8358358358358359,0.105
0.8408408408408409,0.105
0.8458458458458459,0.11
0.8508508508508509,0.11
0.8558558558558559,0.11
0.8608608608608609,0.115
0.8658658658658659,0.115
0.8708708708708709,0.12
0.8758758758758759,0.12
0.8808808808808809,0.125
0.8858858858858859,0.125
0.8908908908908909,0.13
0.8958958958958959,0.13
0.9009009009009009,0.13
